Id,AccountId,Name,ContactId,Description,Extended_Warranty_Expiration__c,Unique_Serial_Number__c,SerialNumber,Warranty_Expiration_Date__c,Account.Name,Account.Partner_Owner__c
02i1U000003mD1kQAE,0011U00000pT9FAQA0,MPA 0225,,,,RTR-MPA-0003-2038-0225,RTR-MPA-0003-2038-0225,,Next.Robotics,
02i1U000003mD1lQAE,0011U00000pT9FAQA0,MPA 0232,,,,RTR-MPA-0003-2038-0232,RTR-MPA-0003-2038-0232,,Next.Robotics,
02i1U000003mDAcQAM,0011U00000pT9FAQA0,CTR 0065,,,,RTR-MPA-0003-2038-0229,RTR-CTR-0001-2043-0065,,Next.Robotics,
02i1U000000OEgyQAG,0011U00000pT9FAQA0,MPA 0067,,,,2 2.1 0067,2 2.1 0067,3/22/2021,Next.Robotics,
02i1U000000OEgxQAG,0011U00000pT9FAQA0,MPA 0066,,,,2 2.1 0066,2 2.1 0066,3/22/2021,Next.Robotics,
02i1U000003m68hQAA,0011U00000pT9FAQA0,MPA 0205,,,,RTR-MPA-0003-2036-0205,RTR-MPA-0003-2036-0205,,Next.Robotics,
02i1U000003m69QQAQ,0011U00000pT9FAQA0,MPA 0222,,,,RTR-MPA-0003-2036-0222,RTR-MPA-0003-2036-0222,,Next.Robotics,
02i1U000003m696QAA,0011U00000pT9FAQA0,MPA 0216,,,,RTR-MPA-0003-2036-0216,RTR-MPA-0003-2036-0216,,Next.Robotics,
02i1U000003m697QAA,0011U000012wREHQA2,MPA 0221,,,,RTR-MPA-0003-2036-0221,RTR-MPA-0003-2036-0221,10/20/2021,IMA S.p.a.,0011U00000pT9FAQA0
02i1U000003mDATQA2,0011U00000pT9FAQA0,CTR 0070,,,,RTR-MPA-0003-2038-0232,RTR-CTR-0001-2043-0070,,Next.Robotics,
02i1U000003mDAwQAM,0011U00000pT9FAQA0,CTR 0074,,,,RTR-MPA-0003-2036-0216,RTR-CTR-0001-2043-0074,,Next.Robotics,
02i1U000000OEh7QAG,0011U00000pT9FAQA0,MPA 0063,,,,2 2.1 0063,2 2.1 0063,3/22/2021,Next.Robotics,
02i1U000003mDAQQA2,0011U00001HTTDmQAP,CTR 0073,,,,RTR-MPA-0003-2036-0205,RTR-CTR-0001-2043-0073,,Irish Manufacturing Research,0011U00000pT9FAQA0
02i1U000000OEh2QAG,0011U00000pT9FAQA0,MPA 0100,,,,2 2.1 0100,2 2.1 0100,3/22/2021,Next.Robotics,
02i1U0000006IjrQAE,0011U000012wREHQA2,MPA 0038,,,,2 2.1 0038,2 2.1 0038,,IMA S.p.a.,0011U00000pT9FAQA0
02i1U000003m2snQAA,0011U00000pT9FAQA0,RS 0021,,,,,RTR-RS-0001-2035-0021,,Next.Robotics,
02i1U000000OEhCQAW,0011U00001dB4r2QAC,CTR 0023,,Contact person:
Giovanni Todeschini
giovanni.todeschini@rebeldynamics.it,,RTR-MPA-0002-2002-0066,RTR-CTR-0001-2024-0023,3/22/2021,Rebel Dynamics,0011U00000pT9FAQA0
02i1U000002PCpPQAW,0011U00000pT9FAQA0,MPA 0085,,,,2 2.1 0085,2 2.1 0085,,Next.Robotics,
02i1U000000OEhHQAW,0011U00000pT9FAQA0,CTR 0024,,,,RTR-MPA-0002-2002-0067,RTR-CTR-0001-2024-0024,3/22/2021,Next.Robotics,
02i1U000000OEhMQAW,0011U00000pT9FAQA0,CTR 0025,,,,RTR-MPA-0002-2002-0100,RTR-CTR-0001-2024-0025,6/18/2021,Next.Robotics,
02i1U000000OEBDQA4,0011U00001EWV6nQAH,MPA 0094,,,,2 2.1 0094,2 2.1 0094,5/31/2021,AMRC,0011U00000pT9FAQA0
02i1U000000OEBEQA4,0011U00001EWV6nQAH,CTR 0004,,,,RTR-MPA-0002-2002-0094,RTR-CTR-0001-2021-0004,5/31/2021,AMRC,0011U00000pT9FAQA0
02i1U000003mDAiQAM,0011U00000pT9FAQA0,CTR 0068,,,,RTR-MPA-0003-2038-0225,RTR-CTR-0001-2043-0068,,Next.Robotics,
02i1U000002PCpKQAW,0011U00000pT9FAQA0,MPA 0076,,,,2 2.1 0076,2 2.1 0076,,Next.Robotics,
02i1U000000OEMtQAO,0011U00001EWV6nQAH,RS 0001,,,,,RTR-RS-0001-2021-0001,5/31/2021,AMRC,0011U00000pT9FAQA0
02i1U000003mD20QAE,0011U00001N9EUHQA3,MPA 0229,,,,RTR-MPA-0003-2038-0229,RTR-MPA-0003-2038-0229,,FFT,0011U00000pT9FAQA0
02i1U000003m9dEQAQ,0011U00000pT9FAQA0,RS 0024,,,,,RTR-RS-0001-2038-0024,,Next.Robotics,
02i1U000003m9dwQAA,0011U00001h1DG0QAM,CTR 0060,,BMW Innovation center - Marius Rittstieg,,RTR-MPA-0003-2036-0222,RTR-CTR-0001-2037-0060,,BMW Innovation Lab,0011U00000pT9FAQA0
02i1U000003m9dIQAQ,0011U00000pT9FAQA0,RS 0022,,,,,RTR-RS-0001-2038-0022,,Next.Robotics,
02i1U000003m9dmQAA,0011U000012wREHQA2,CTR 0055,,,,RTR-MPA-0003-2036-0221,RTR-CTR-0001-2037-0055,10/20/2021,IMA S.p.a.,0011U00000pT9FAQA0
02i1U000003m9dNQAQ,0011U00000pT9FAQA0,RS 0023,,,,,RTR-RS-0001-2038-0023,,Next.Robotics,
