Id,AccountId,Name,ContactId,Description,Extended_Warranty_Expiration__c,Unique_Serial_Number__c,SerialNumber,Warranty_Expiration_Date__c,Account.Name,Account.Partner_Owner__c
02i1U000000OEhCQAW,0011U00001dB4r2QAC,CTR 0023,,"Contact person:
Giovanni Todeschini
giovanni.todeschini@rebeldynamics.it",,RTR-MPA-0002-2002-0066,RTR-CTR-0001-2024-0023,3/22/2021,Rebel Dynamics,0011U00000pT9FAQA0
02i1U000002PCpPQAW,0011U00000pT9FAQA0,MPA 0085,,,,2 2.1 0085,2 2.1 0085,,Next.Robotics,
02i1U000000OEMtQAO,0011U00001EWV6nQAH,RS 0001,,,,,RTR-RS-0001-2021-0001,5/31/2021,AMRC,0011U00000pT9FAQA0
02i1U000000OFDjQAO,0011U000008Dh2dQAC,CTR 0027,,,,RTR-MPA-0002-2002-0058,RTR-CTR-0001-2024-0027,9/3/2021,Nexty,
02i1U000003m9ehQAA,0011U000008D4kPQAS,CTR 0043,,,,RTR-MPA-0003-2031-0200,RTR-CTR-0001-2032-0043,9/28/2021,Aisin Group,0011U000007zcnLQAQ
02i1U000003m9emQAA,0011U000007zcnLQAQ,CTR 0042,,,,RTR-MPA-0003-2031-0201,RTR-CTR-0001-2032-0042,9/28/2021,Johnan Corp,
02i1U000003m9erQAA,0011U00001OFhByQAL,MPA 0050,,,,2 2.1 0050,2 2.1 0050,9/28/2021,AI3,0011U000007zcnLQAQ
02i1U000003m9ewQAA,0011U00001OFhByQAL,CTR 0044,,,,RTR-MPA-0002-2002-0050,RTR-CTR-0001-2032-0044,9/28/2021,AI3,0011U000007zcnLQAQ
02i1U000003m9dNQAQ,0011U00000pT9FAQA0,RS 0023,,,,,RTR-RS-0001-2038-0023,,Next.Robotics,
02i1U000000OFDUQA4,0011U000008Dh2dQAC,MPA 0103,,,,2 2.1 0103,2 2.1 0103,9/3/2021,Nexty,
02i1U000000OFDtQAO,0011U000008Dh2dQAC,RS 0011,,,,,RTR-RS-0001-2029-0011,9/3/2021,Nexty,
02i1U000000OEbrQAG,0011U000007zcnLQAQ,MPA 0086,,,,2 2.1 0086,2 2.1 0086,6/14/2021,Johnan Corp,
02i1U000000OEcVQAW,0011U000007zcnLQAQ,CTR 0016,,,,RTR-MPA-0002-2002-0069,RTR-CTR-0001-2024-0016,6/14/2021,Johnan Corp,
02i1U000003mD1kQAE,0011U00000pT9FAQA0,MPA 0225,,,,RTR-MPA-0003-2038-0225,RTR-MPA-0003-2038-0225,,Next.Robotics,
02i1U000003mD1lQAE,0011U00000pT9FAQA0,MPA 0232,,,,RTR-MPA-0003-2038-0232,RTR-MPA-0003-2038-0232,,Next.Robotics,
02i1U000003mDAcQAM,0011U00000pT9FAQA0,CTR 0065,,,,RTR-MPA-0003-2038-0229,RTR-CTR-0001-2043-0065,,Next.Robotics,
02i1U000000OEcQQAW,0011U000007zcnLQAQ,MPA 0069,,,,2 2.1 0069,2 2.1 0069,6/14/2021,Johnan Corp,
02i1U000000OEcGQAW,0011U000007zcnLQAQ,CTR 0014,,,,RTR-MPA-0002-2002-0073,RTR-CTR-0001-2024-0014,6/14/2021,Johnan Corp,
02i1U000000HtulQAC,0011U00000RZOa0QAH,MPA 0012,,"6/21/2019: Solder wetting issue at L1. Returned to RelianceCM for analysis.
2/6/2020: @HONDA",,2 2.1 0012,2 2.1 0012,,Honda,0011U000007zcnLQAQ
02i1U000003m68hQAA,0011U00000pT9FAQA0,MPA 0205,,,,RTR-MPA-0003-2036-0205,RTR-MPA-0003-2036-0205,,Next.Robotics,
02i1U000003m69QQAQ,0011U00000pT9FAQA0,MPA 0222,,,,RTR-MPA-0003-2036-0222,RTR-MPA-0003-2036-0222,,Next.Robotics,
02i1U000003m696QAA,0011U00000pT9FAQA0,MPA 0216,,,,RTR-MPA-0003-2036-0216,RTR-MPA-0003-2036-0216,,Next.Robotics,
02i1U000003m697QAA,0011U000012wREHQA2,MPA 0221,,,,RTR-MPA-0003-2036-0221,RTR-MPA-0003-2036-0221,10/20/2021,IMA S.p.a.,0011U00000pT9FAQA0
02i1U000000OEMjQAO,0011U000007zcnLQAQ,RS 0005,,,,,RTR-RS-0001-2021-0005,6/14/2021,Johnan Corp,
