Id,Description,Name,Category__c,ParentId,Partner_Owner__c,Shipping_POC__c,Technical_POC__c
0011U000008D4m1QAC,,Nachi Technology Inc,Robot OEM,,0011U000007zcnLQAQ,,
0011U000008D4kPQAS,,Aisin Group,End-User,,0011U000007zcnLQAQ,,
0011U00001OFhARQA1,,Kyoto University,Research + Edu,,0011U000007zcnLQAQ,,
0011U00001HTTDmQAP,,Irish Manufacturing Research,Technology Solution Provider,,0011U00000pT9FAQA0,0031U00001cqULmQAM,0031U00001cqULmQAM
0011U000008Dh2dQAC,,Nexty,Distributor,,,,
0011U00001OFhByQAL,,AI3,End-User,,0011U000007zcnLQAQ,,
0011U00001EWV6nQAH,,AMRC,Technology Solution Provider,,0011U00000pT9FAQA0,0031U00001ZiuVkQAJ,0031U00001ZiuVkQAJ
0011U00001dB4r2QAC,,Rebel Dynamics,Integrator,,0011U00000pT9FAQA0,0031U00001gcHiBQAU,0031U00001gcHiBQAU
0011U00001h1DFcQAM,,BMW Werk 0 - RoboCT,End-User,0011U00000Af3wmQAB,0011U00000pT9FAQA0,0031U00001gcR8fQAE,0031U00001gcR8fQAE
0011U00001h1DFdQAM,,BMW Regensburg - Simulation,End-User,0011U00000Af3wmQAB,0011U00000pT9FAQA0,0031U00001gcR7TQAU,0031U00001gcR7TQAU
0011U00001h1DG0QAM,,BMW Innovation Lab,End-User,0011U00000Af3wmQAB,0011U00000pT9FAQA0,0031U00001fBJoUQAW,0031U00001fBJoUQAW
0011U00001HrKIDQA3,,Potential Distribution - N.A.,Distributor,,,,
0011U00001N9EUHQA3,,FFT,End-User,,0011U00000pT9FAQA0,0031U00001covJXQAY,0031U00001covJXQAY
0011U000010X3ZtQAK,,Asia Focus,Distributor,,,,
0011U00000pT9FAQA0,,Next.Robotics,Distributor,,,0031U00001gcOpdQAE,0031U00001gcOpdQAE
0011U000010Tr71QAC,,Toyota Tsusho Corporation,Distributor,,,,
0011U0000184CbxQAE,,Buchanan Automation,Distributor,,,,
0011U000010TqgQQAS,,JOHNAN,Distributor,,,,
0011U000010TqfDQAS,,Okaya,Distributor,,,,
0011U00001N9mKlQAJ,,Interlatin,Distributor,,,,
0011U00001hsU5IQAU,,SIMSOL Ltd,Distributor,,,,
0011U00000ShkHnQAJ,,Toyota- Japan,End-User,,0011U000007zcnLQAQ,,
0011U000007zcnLQAQ,Distributor,Johnan Corp,Distributor,,,0031U00001JhhxIQAR,0031U00001JhhxIQAR
0011U00000SjqSmQAJ,,Automation Distribution,Distributor,,,,
0011U00001SvrENQAZ,,Chropynska,Integrator,,0011U00000pT9FAQA0,0031U00001cqSqoQAE,0031U00001cqSqoQAE
0011U00000RZOa0QAH,,Honda,End-User,,0011U000007zcnLQAQ,,
0011U000012wREHQA2,,IMA S.p.a.,End-User,,0011U00000pT9FAQA0,0031U00001H57O2QAJ,0031U00001H57O2QAJ
0011U00000Af3y5QAB,,Generation Robots,Distributor,,,,
0011U00001HTapHQAT,,Kantum Ushikata,Distributor,,,,
0011U00001PONs4QAH,,Tokyo University,Research + Edu,,0011U000007zcnLQAQ,,0031U00001JhhxIQAR
0011U000007zcdGQAQ,,Sony Electronics Inc,End-User,,0011U000007zcnLQAQ,,
